"bucket_name","lower_bound","upper_bound","specific_value"
"not_hispanic",NA,NA,0
"hispanic",NA,NA,1
"hispanic",NA,NA,2
"hispanic",NA,NA,3
"hispanic",NA,NA,4
"N/A",NA,NA,9
