"bucket_name","lower_bound","upper_bound","specific_value"
"white",NA,NA,1
"black",NA,NA,2
"aian",NA,NA,3
"aapi",NA,NA,4
"aapi",NA,NA,5
"aapi",NA,NA,6
"multi",NA,NA,8
"multi",NA,NA,9
"other",NA,NA,7
